sampID	project	sort_date	well	libname	seqtype	cross	dap	n_nuc	peak	stage	stagecode	batch	platform	final ERCC dil.
D17-213263	171220Geh	11/2/17	10D	P6_10D	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213264	171220Geh	11/2/17	10E	P6_10E	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213265	171220Geh	11/2/17	10F	P6_10F	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213266	171220Geh	11/2/17	10G	P6_10G	single	LxC	5	2	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213267	171220Geh	11/2/17	10H	P6_10H	single	LxC	5	2	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213268	171220Geh	11/2/17	11A	P6_11A	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213269	171220Geh	11/2/17	11B	P6_11B	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213270	171220Geh	11/2/17	11C	P6_11C	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213271	171220Geh	11/2/17	11D	P6_11D	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213272	171220Geh	11/2/17	11E	P6_11E	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213273	171220Geh	11/2/17	11F	P6_11F	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213274	171220Geh	11/2/17	11G	P6_11G	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213275	171220Geh	11/2/17	11H	P6_11H	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213276	171220Geh	11/2/17	12A	P6_12A	single	LxC	5	1	6N	torpedo	4	6	HiSeq 2000	1:250M
D17-213277	171220Geh	11/2/17	12B	P6_12B	single	LxC	5	1	6N	torpedo	4	6	HiSeq 2000	1:250M
D17-213278	171220Geh	11/2/17	12C	P6_12C	single	LxC	5	1	6N	torpedo	4	6	HiSeq 2000	1:250M
D17-213279	171220Geh	11/2/17	12D	P6_12D	single	LxC	5	1	6N	torpedo	4	6	HiSeq 2000	1:250M
D17-213280	171220Geh	11/2/17	12E	P6_12E	single	LxC	5	1	6N	torpedo	4	6	HiSeq 2000	1:250M
D17-213281	171220Geh	11/2/17	12F	P6_12F	single	LxC	5	1	6N	torpedo	4	6	HiSeq 2000	1:250M
D17-213282	171220Geh	11/2/17	12G	P6_12G	single	LxC	5	1	6N	torpedo	4	6	HiSeq 2000	1:250M
D17-213283	171220Geh	11/2/17	12H	P6_12H	single	LxC	5	1	6N	torpedo	4	6	HiSeq 2000	1:250M
D17-213001	171220Geh	11/14/17	1A	P7_1A	single	CxV	nocell	0	NA	NA	2	7	HiSeq 2000	1:250M
D17-213002	171220Geh	11/14/17	1B	P7_1B	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213003	171220Geh	11/14/17	1C	P7_1C	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213004	171220Geh	11/14/17	1D	P7_1D	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213005	171220Geh	11/14/17	1E	P7_1E	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213006	171220Geh	11/14/17	1F	P7_1F	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213007	171220Geh	11/14/17	1G	P7_1G	single	CxV	3	2	3N	heart	2	7	HiSeq 2000	1:250M
D17-213008	171220Geh	11/14/17	1H	P7_1H	single	CxV	3	2	3N	heart	2	7	HiSeq 2000	1:250M
D17-213009	171220Geh	11/14/17	2A	P7_2A	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213010	171220Geh	11/14/17	2B	P7_2B	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213011	171220Geh	11/14/17	2C	P7_2C	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213012	171220Geh	11/14/17	2D	P7_2D	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213013	171220Geh	11/14/17	2E	P7_2E	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213014	171220Geh	11/14/17	2F	P7_2F	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213015	171220Geh	11/14/17	2G	P7_2G	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213016	171220Geh	11/14/17	2H	P7_2H	single	CxV	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213017	171220Geh	11/14/17	3A	P7_3A	single	CxV	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213018	171220Geh	11/14/17	3B	P7_3B	single	CxV	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213019	171220Geh	11/14/17	3C	P7_3C	single	CxV	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213020	171220Geh	11/14/17	3D	P7_3D	single	CxV	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213021	171220Geh	11/14/17	3E	P7_3E	single	CxV	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213022	171220Geh	11/14/17	3F	P7_3F	single	CxV	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213023	171220Geh	11/14/17	3G	P7_3G	single	CxV	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213024	171220Geh	11/14/17	3H	P7_3H	single	CxV	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213025	171220Geh	11/14/17	4A	P7_4A	single	CxV	blank	0	NA	NA	4	7	HiSeq 2000	1:250M
D17-213026	171220Geh	11/14/17	4B	P7_4B	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213027	171220Geh	11/14/17	4C	P7_4C	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213028	171220Geh	11/14/17	4D	P7_4D	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213029	171220Geh	11/14/17	4E	P7_4E	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213030	171220Geh	11/14/17	4F	P7_4F	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213031	171220Geh	11/14/17	4G	P7_4G	single	CxV	5	2	3N	heart	4	7	HiSeq 2000	1:250M
D17-213032	171220Geh	11/14/17	4H	P7_4H	single	CxV	5	2	3N	heart	4	7	HiSeq 2000	1:250M
D17-213033	171220Geh	11/14/17	5A	P7_5A	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213034	171220Geh	11/14/17	5B	P7_5B	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213035	171220Geh	11/14/17	5C	P7_5C	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213036	171220Geh	11/14/17	5D	P7_5D	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213037	171220Geh	11/14/17	5E	P7_5E	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213038	171220Geh	11/14/17	5F	P7_5F	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213039	171220Geh	11/14/17	5G	P7_5G	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213040	171220Geh	11/14/17	5H	P7_5H	single	CxV	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213041	171220Geh	11/14/17	6A	P7_6A	single	CxV	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213042	171220Geh	11/14/17	6B	P7_6B	single	CxV	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213043	171220Geh	11/14/17	6C	P7_6C	single	CxV	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213044	171220Geh	11/14/17	6D	P7_6D	single	CxV	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213045	171220Geh	11/14/17	6E	P7_6E	single	CxV	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213046	171220Geh	11/14/17	6F	P7_6F	single	CxV	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213047	171220Geh	11/14/17	6G	P7_6G	single	CxV	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213048	171220Geh	11/14/17	6H	P7_6H	single	CxV	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213049	171220Geh	11/14/17	7A	P7_7A	single	VxC	nocell	0	NA	NA	2	7	HiSeq 2000	1:250M
D17-213050	171220Geh	11/14/17	7B	P7_7B	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213051	171220Geh	11/14/17	7C	P7_7C	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213052	171220Geh	11/14/17	7D	P7_7D	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213053	171220Geh	11/14/17	7E	P7_7E	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213054	171220Geh	11/14/17	7F	P7_7F	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213055	171220Geh	11/14/17	7G	P7_7G	single	VxC	3	2	3N	heart	2	7	HiSeq 2000	1:250M
D17-213056	171220Geh	11/14/17	7H	P7_7H	single	VxC	3	2	3N	heart	2	7	HiSeq 2000	1:250M
D17-213057	171220Geh	11/14/17	8A	P7_8A	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213058	171220Geh	11/14/17	8B	P7_8B	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213059	171220Geh	11/14/17	8C	P7_8C	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213060	171220Geh	11/14/17	8D	P7_8D	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213061	171220Geh	11/14/17	8E	P7_8E	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213062	171220Geh	11/14/17	8F	P7_8F	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213063	171220Geh	11/14/17	8G	P7_8G	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213064	171220Geh	11/14/17	8H	P7_8H	single	VxC	3	1	3N	heart	2	7	HiSeq 2000	1:250M
D17-213065	171220Geh	11/14/17	9A	P7_9A	single	VxC	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213066	171220Geh	11/14/17	9B	P7_9B	single	VxC	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213067	171220Geh	11/14/17	9C	P7_9C	single	VxC	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213068	171220Geh	11/14/17	9D	P7_9D	single	VxC	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213069	171220Geh	11/14/17	9E	P7_9E	single	VxC	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213070	171220Geh	11/14/17	9F	P7_9F	single	VxC	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213071	171220Geh	11/14/17	9G	P7_9G	single	VxC	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213072	171220Geh	11/14/17	9H	P7_9H	single	VxC	3	1	6N	heart	2	7	HiSeq 2000	1:250M
D17-213073	171220Geh	11/14/17	10A	P7_10A	single	VxC	blank	0	NA	NA	4	7	HiSeq 2000	1:250M
D17-213074	171220Geh	11/14/17	10B	P7_10B	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213075	171220Geh	11/14/17	10C	P7_10C	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213076	171220Geh	11/14/17	10D	P7_10D	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213077	171220Geh	11/14/17	10E	P7_10E	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213078	171220Geh	11/14/17	10F	P7_10F	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213079	171220Geh	11/14/17	10G	P7_10G	single	VxC	5	2	3N	heart	4	7	HiSeq 2000	1:250M
D17-213080	171220Geh	11/14/17	10H	P7_10H	single	VxC	5	2	3N	heart	4	7	HiSeq 2000	1:250M
D17-213081	171220Geh	11/14/17	11A	P7_11A	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213082	171220Geh	11/14/17	11B	P7_11B	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213083	171220Geh	11/14/17	11C	P7_11C	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213084	171220Geh	11/14/17	11D	P7_11D	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213085	171220Geh	11/14/17	11E	P7_11E	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213086	171220Geh	11/14/17	11F	P7_11F	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213087	171220Geh	11/14/17	11G	P7_11G	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213088	171220Geh	11/14/17	11H	P7_11H	single	VxC	5	1	3N	heart	4	7	HiSeq 2000	1:250M
D17-213089	171220Geh	11/14/17	12A	P7_12A	single	VxC	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213090	171220Geh	11/14/17	12B	P7_12B	single	VxC	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213091	171220Geh	11/14/17	12C	P7_12C	single	VxC	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213092	171220Geh	11/14/17	12D	P7_12D	single	VxC	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213093	171220Geh	11/14/17	12E	P7_12E	single	VxC	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213094	171220Geh	11/14/17	12F	P7_12F	single	VxC	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213095	171220Geh	11/14/17	12G	P7_12G	single	VxC	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213096	171220Geh	11/14/17	12H	P7_12H	single	VxC	5	1	6N	heart	4	7	HiSeq 2000	1:250M
D17-213097	171220Geh	11/16/17	1A	P8_1A	single	CxV	nocell	0	NA	heart	3	8	HiSeq 2000	1:250M
D17-213098	171220Geh	11/16/17	1B	P8_1B	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213099	171220Geh	11/16/17	1C	P8_1C	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213100	171220Geh	11/16/17	1D	P8_1D	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213101	171220Geh	11/16/17	1E	P8_1E	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213102	171220Geh	11/16/17	1F	P8_1F	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213103	171220Geh	11/16/17	1G	P8_1G	single	CxV	4	2	3N	heart	3	8	HiSeq 2000	1:250M
D17-213104	171220Geh	11/16/17	1H	P8_1H	single	CxV	4	2	3N	heart	3	8	HiSeq 2000	1:250M
D17-213105	171220Geh	11/16/17	2A	P8_2A	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213106	171220Geh	11/16/17	2B	P8_2B	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213107	171220Geh	11/16/17	2C	P8_2C	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213108	171220Geh	11/16/17	2D	P8_2D	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213109	171220Geh	11/16/17	2E	P8_2E	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213110	171220Geh	11/16/17	2F	P8_2F	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213111	171220Geh	11/16/17	2G	P8_2G	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213112	171220Geh	11/16/17	2H	P8_2H	single	CxV	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213113	171220Geh	11/16/17	3A	P8_3A	single	CxV	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213114	171220Geh	11/16/17	3B	P8_3B	single	CxV	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213115	171220Geh	11/16/17	3C	P8_3C	single	CxV	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213116	171220Geh	11/16/17	3D	P8_3D	single	CxV	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213117	171220Geh	11/16/17	3E	P8_3E	single	CxV	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213118	171220Geh	11/16/17	3F	P8_3F	single	CxV	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213119	171220Geh	11/16/17	3G	P8_3G	single	CxV	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213120	171220Geh	11/16/17	3H	P8_3H	single	CxV	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213121	171220Geh	11/16/17	4B	P8_4B	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213122	171220Geh	11/16/17	4C	P8_4C	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213123	171220Geh	11/16/17	4D	P8_4D	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213124	171220Geh	11/16/17	4E	P8_4E	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213125	171220Geh	11/16/17	4F	P8_4F	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213126	171220Geh	11/16/17	4G	P8_4G	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213127	171220Geh	11/16/17	4H	P8_4H	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213128	171220Geh	11/16/17	5A	P8_5A	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213129	171220Geh	11/16/17	5B	P8_5B	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213130	171220Geh	11/16/17	5C	P8_5C	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213131	171220Geh	11/16/17	5D	P8_5D	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213132	171220Geh	11/16/17	5E	P8_5E	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213133	171220Geh	11/16/17	5F	P8_5F	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213134	171220Geh	11/16/17	5G	P8_5G	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213135	171220Geh	11/16/17	5H	P8_5H	single	CxL	4	1	3N	early heart	2	8	HiSeq 2000	1:250M
D17-213136	171220Geh	11/16/17	6A	P8_6A	single	CxL	4	1	6N	early heart	2	8	HiSeq 2000	1:250M
D17-213137	171220Geh	11/16/17	6B	P8_6B	single	CxL	4	1	6N	early heart	2	8	HiSeq 2000	1:250M
D17-213138	171220Geh	11/16/17	6C	P8_6C	single	CxL	4	1	6N	early heart	2	8	HiSeq 2000	1:250M
D17-213139	171220Geh	11/16/17	6D	P8_6D	single	CxL	4	1	6N	early heart	2	8	HiSeq 2000	1:250M
D17-213140	171220Geh	11/16/17	6E	P8_6E	single	CxL	4	1	6N	early heart	2	8	HiSeq 2000	1:250M
D17-213141	171220Geh	11/16/17	6F	P8_6F	single	CxL	4	1	6N	early heart	2	8	HiSeq 2000	1:250M
D17-213142	171220Geh	11/16/17	6G	P8_6G	single	CxL	4	1	6N	early heart	2	8	HiSeq 2000	1:250M
D17-213143	171220Geh	11/16/17	6H	P8_6H	single	CxL	4	1	6N	early heart	2	8	HiSeq 2000	1:250M
D17-213144	171220Geh	11/16/17	7A	P8_7A	single	VxC	nocell	0	NA	NA	3	8	HiSeq 2000	1:250M
D17-213145	171220Geh	11/16/17	7B	P8_7B	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213146	171220Geh	11/16/17	7C	P8_7C	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213147	171220Geh	11/16/17	7D	P8_7D	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213148	171220Geh	11/16/17	7E	P8_7E	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213149	171220Geh	11/16/17	7F	P8_7F	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213150	171220Geh	11/16/17	7G	P8_7G	single	VxC	4	2	3N	heart	3	8	HiSeq 2000	1:250M
D17-213151	171220Geh	11/16/17	7H	P8_7H	single	VxC	4	2	3N	heart	3	8	HiSeq 2000	1:250M
D17-213152	171220Geh	11/16/17	8A	P8_8A	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213153	171220Geh	11/16/17	8B	P8_8B	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213154	171220Geh	11/16/17	8C	P8_8C	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213155	171220Geh	11/16/17	8D	P8_8D	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213156	171220Geh	11/16/17	8E	P8_8E	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213157	171220Geh	11/16/17	8F	P8_8F	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213158	171220Geh	11/16/17	8G	P8_8G	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213159	171220Geh	11/16/17	8H	P8_8H	single	VxC	4	1	3N	heart	3	8	HiSeq 2000	1:250M
D17-213160	171220Geh	11/16/17	9A	P8_9A	single	VxC	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213161	171220Geh	11/16/17	9B	P8_9B	single	VxC	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213162	171220Geh	11/16/17	9C	P8_9C	single	VxC	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213163	171220Geh	11/16/17	9D	P8_9D	single	VxC	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213164	171220Geh	11/16/17	9E	P8_9E	single	VxC	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213165	171220Geh	11/16/17	9F	P8_9F	single	VxC	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213166	171220Geh	11/16/17	9G	P8_9G	single	VxC	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213167	171220Geh	11/16/17	9H	P8_9H	single	VxC	4	1	6N	heart	3	8	HiSeq 2000	1:250M
D17-213168	171220Geh	11/16/17	10B	P8_10B	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213169	171220Geh	11/16/17	10C	P8_10C	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213170	171220Geh	11/16/17	10D	P8_10D	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213171	171220Geh	11/16/17	10E	P8_10E	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213172	171220Geh	11/16/17	10F	P8_10F	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213173	171220Geh	11/16/17	10G	P8_10G	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213174	171220Geh	11/16/17	10H	P8_10H	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213175	171220Geh	11/16/17	11A	P8_11A	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213176	171220Geh	11/16/17	11B	P8_11B	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213177	171220Geh	11/16/17	11C	P8_11C	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213178	171220Geh	11/16/17	11D	P8_11D	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213179	171220Geh	11/16/17	11E	P8_11E	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213180	171220Geh	11/16/17	11F	P8_11F	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213181	171220Geh	11/16/17	11G	P8_11G	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213182	171220Geh	11/16/17	11H	P8_11H	single	LxC	4	1	3N	late heart	3	8	HiSeq 2000	1:250M
D17-213183	171220Geh	11/16/17	12A	P8_12A	single	LxC	4	1	6N	late heart	3	8	HiSeq 2000	1:250M
D17-213184	171220Geh	11/16/17	12B	P8_12B	single	LxC	4	1	6N	late heart	3	8	HiSeq 2000	1:250M
D17-213185	171220Geh	11/16/17	12C	P8_12C	single	LxC	4	1	6N	late heart	3	8	HiSeq 2000	1:250M
D17-213186	171220Geh	11/16/17	12D	P8_12D	single	LxC	4	1	6N	late heart	3	8	HiSeq 2000	1:250M
D17-213187	171220Geh	11/16/17	12E	P8_12E	single	LxC	4	1	6N	late heart	3	8	HiSeq 2000	1:250M
D17-213188	171220Geh	11/16/17	12F	P8_12F	single	LxC	4	1	6N	late heart	3	8	HiSeq 2000	1:250M
D17-213189	171220Geh	11/16/17	12G	P8_12G	single	LxC	4	1	6N	late heart	3	8	HiSeq 2000	1:250M
D17-213190	171220Geh	11/16/17	12H	P8_12H	single	LxC	4	1	6N	late heart	3	8	HiSeq 2000	1:250M
D17-213284	171220Geh	11/30/17	1A	P9_1A	single	CxL	nocell	0	NA	NA	2	9	HiSeq 2000	1:250M
D17-213285	171220Geh	11/30/17	1B	P9_1B	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213286	171220Geh	11/30/17	1C	P9_1C	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213287	171220Geh	11/30/17	1D	P9_1D	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213288	171220Geh	11/30/17	1E	P9_1E	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213289	171220Geh	11/30/17	1F	P9_1F	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213290	171220Geh	11/30/17	1G	P9_1G	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213291	171220Geh	11/30/17	1H	P9_1H	single	CxL	3	2	3N	globular	2	9	HiSeq 2000	1:250M
D17-213292	171220Geh	11/30/17	2A	P9_2A	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213293	171220Geh	11/30/17	2B	P9_2B	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213294	171220Geh	11/30/17	2C	P9_2C	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213295	171220Geh	11/30/17	2D	P9_2D	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213296	171220Geh	11/30/17	2E	P9_2E	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213297	171220Geh	11/30/17	2F	P9_2F	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
D17-213298	171220Geh	11/30/17	2G	P9_2G	single	CxL	3	1	3N	globular	2	9	HiSeq 2000	1:250M
